"country","iucn_cat","count","area_ha"
"ABNJ","Not Applicable",8,64688832.0543564
"AFG","II",1,59659.2796733016
"AFG","IV",4,216415.387399095
"AFG","Not Reported",5,1558264.41657224
"AGO","II",6,5178343.47653284
"AGO","IV",5,3041492.05979666
"AGO","Not Reported",1,6796661.17141693
"AGO","V",1,21431.3973582349
"ALA","Not Reported",25,2668.15142810859
"ALA","VI",1,5221.50097941571
"ALB","Ia",2,12068.5695535691
"ALB","II",12,95667.5655380668
"ALB","III",6,6200.54545122487
"ALB","IV",20,60357.1949656367
"ALB","Not Applicable",1,8795.54024912302
"ALB","V",4,53945.625981306
"ALB","VI",4,18239.1051895187
"AND","Not Applicable",1,1067.21120189009
"ARE","II",1,22504.621481264
"ARE","Not Applicable",1,424762.15308117
"ARE","Not Reported",7,1534068.76809734
"ARG","Ia",16,575761.609719779
"ARG","Ib",1,76446.5138207148
"ARG","II",42,3689729.91625212
"ARG","III",5,74566.2789383445
"ARG","IV",18,444886.680886521
"ARG","Not Applicable",22,5289555.01675519
"ARG","Not Reported",13,529282.035593672
"ARG","V",4,18529.1563074825
"ARG","VI",79,8492673.18814581
"ARM","Ia",3,35153.1450234304
"ARM","II",4,242981.001855287
"ARM","IV",27,89973.9035089364
"ARM","Not Applicable",3,477383.245989033
"ASM","II",2,547.186425377613
"ASM","IV",1,70.9540624402416
"ASM","Not Reported",8,3479469.61978894
"ATA","Ia",1,2088.08004412213
"ATF","Not Reported",1,2332714.27786393
"ATG","II",3,7345.03183670419
"ATG","Not Reported",8,6007.60490585032
"ATG","V",1,65.1893949297381
"AUS","Ia",2512,24622385.2074522
"AUS","Ib",69,3703692.09870012
"AUS","II",1087,175495589.278305
"AUS","III",2342,1006331.49384242
"AUS","IV",2304,39477192.7449095
"AUS","Not Applicable",82,60022724.1198654
"AUS","Not Reported",132,89052.1897194949
"AUS","V",229,1064981.0403551
"AUS","VI",1393,188020135.032238
"AUS, CCK","II",1,2601.91203611936
"AUS, CCK","Not Applicable",1,2601.91191509752
"AUS, CXR","II",1,8776.50963134415
"AUS, CXR","Not Applicable",2,786.140500273106
"AUS, NFK","II",1,493.458747681434
"AUT","Ia",3,1129.70770496716
"AUT","Ib",4,3146.24645602718
"AUT","II",9,235905.302514679
"AUT","III",192,2573.65199250794
"AUT","IV",638,503769.910734988
"AUT","Not Applicable",10,90290.2222234297
"AUT","Not Reported",1,78.0745363697877
"AUT","V",345,1782672.65422147
"AUT","VI",3,124808.537629636
"AZE","Ia",18,206530.114940522
"AZE","II",8,310590.178879538
"AZE","IV",26,541726.946141991
"AZE","Not Reported",1,14591.4207240277
"BDI","IV",7,98416.731885879
"BEL","II",9,313476.497822545
"BEL","IV",489,24945.169289267
"BEL","Not Applicable",464,728789.814090729
"BEL","Not Reported",573,105687.215041879
"BEL","VI",436,59222.3297056436
"BEN","II",2,861052.348131708
"BEN","Not Reported",23,1419612.28829735
"BEN","VI",3,433341.204740684
"BES","II",1,2242.998382453
"BES","Not Applicable",5,2412.80405479307
"BES","Not Reported",1,40.8353053567534
"BFA","II",3,482834.333757954
"BFA","IV",9,2532078.34288718
"BFA","Not Applicable",3,529025.354964999
"BFA","Not Reported",60,952799.678730911
"BGD","IV",11,223743.498070231
"BGD","Not Applicable",2,661451.18606063
"BGD","Not Reported",21,188983.481417734
"BGD","V",10,32298.1384513831
"BGR","Ia",55,76581.0310866708
